url,page_type,overall_score,content_structure,citation_worthiness,authority_signals,ai_consumption,recommendations_count,top_recommendation
https://brushonblock.com/products/quick-stick-spf-40-mineral-sunscreen,product_page,30.9,74.61,2.06,28.65,59.98,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/touch-of-tan-mineral-powder-sunscreen-refill-spf-30,product_page,38.59,77.42,32.22,28.52,54.73,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/sheer-genius-universal-tint-spf-50-mineral-sunscreen-moisture,product_page,30.45,73.21,2.02,29.02,58.42,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/bounce-butter-spf-30-mineral-sunscreen-moisturizing-mousse-for-the-body,product_page,29.01,70.19,1.31,28.57,54.26,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/sheer-genius-mineral-sunscreen-moisture-spf-50,product_page,34.99,73.63,19.09,29.43,59.25,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/translucent-mineral-powder-sunscreen-refill-spf-50,product_page,33.87,75.15,15.08,29.5,54.12,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/brush-on-block-translucent-mineral-powder-sunscreen-spf-50,product_page,31.5,74.28,2.79,29.09,64.16,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen,product_page,30.54,72.31,2.24,28.92,61.2,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/sol-spf-50-spray-on-lotion-sunscreen,product_page,30.42,72.52,1.86,28.86,60.5,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/bob-kids-sun-balm-spf-40-broad-spectrum-sunscreen,product_page,32.5,81.94,1.47,28.68,59.11,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/pages/about-brush-on-block-mineral-powder-sunscreen,product_page,28.02,66.72,7.41,31.94,31.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/introducing-quick-stick-spf-40-mineral-sunscreen,product_page,34.84,85.82,1.68,40.44,48.8,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/what-you-need-to-know-about-mineral-sunscreen-1,product_page,35.08,79.79,7.07,45.43,42.82,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/introducing-sheer-genius-mineral-sunscreen-moisture-spf-50,product_page,35.49,87.08,1.72,40.53,51.91,4,"Add more specific facts, statistics, and numerical data"
https://brushonblock.com/products/full-face-kit-spf-30,product_page,34.41,74.38,17.04,29.13,57.26,4,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/what-exactly-is-mineral-sunscreen-and-why-should-you-use-it,product_page,37.87,84.92,9.66,44.52,53.22,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/brush-on-block-spf-50-50-duo,product_page,29.33,71.37,2.65,28.93,50.41,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/vacation-hydration-spf-kit,product_page,32.71,71.01,14.73,29.5,53.75,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/bob-kids-spf-30,product_page,34.73,76.17,15.8,28.14,61.09,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set,product_page,35.28,81.4,2.64,41.44,59.83,4,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-duo,product_page,34.53,73.22,18.76,28.64,58.07,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/bob-kids-sunscreen-essentials-kit,product_page,30.72,73.19,3.01,28.51,59.71,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/learn-about-the-drug-facts-on-your-sunscreen,product_page,40.3,78.77,29.38,40.59,51.46,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/spf-essentials-kit,product_page,30.13,73.19,2.0,28.0,57.3,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-1,product_page,33.44,74.65,12.82,28.58,58.57,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/brush-on-block-duo-translucent-powder-sunscreens-2,product_page,36.22,77.47,19.98,28.38,61.75,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-1?variant=41104333865065,product_page,33.44,74.65,12.82,28.58,58.57,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/new-refreshed-spf-30-mineral-powder-formula,blog_post,34.95,83.84,1.32,40.76,55.11,4,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/mineral-sunscreen-is-kid-friendly,product_page,35.1,83.41,5.54,42.02,44.52,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/tagged/mineral-spf,blog_post,34.38,78.49,20.0,28.99,39.58,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/sunscreen-101-ingredients-to-leave-at-home,product_page,42.16,78.26,37.28,45.64,41.52,4,Optimize paragraph length (aim for 50-150 words per paragraph)
