query,ai_engine,model,timestamp,brand,product,position,sentiment,mention_type,confidence,context,is_your_brand
best mineral sunscreen 2024,openai,gpt-4,2025-08-31T23:52:55.842108,eltamd,spectrum,4,neutral,indirect,0.8,"**EltaMD UV Physical Broad-Spectrum SPF 41**: This is a tinted facial sunscreen that contains zinc oxide and titanium dioxide, providing broad-spectrum UVA/UVB protection",False
best mineral sunscreen 2024,openai,gpt-4,2025-08-31T23:52:55.842108,neutrogena,spectrum,8,positive,indirect,0.8,**Neutrogena Sheer Zinc Dry-Touch Sunscreen Broad Spectrum SPF 50**: This is a great budget-friendly option that offers high SPF protection using zinc oxide,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-31T23:52:55.842108,coola,crème,12,neutral,direct,0.8,**COOLA Mineral Sun Silk Crème SPF 30**: This sunscreen uses both zinc oxide and titanium dioxide for sun protection,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-31T23:52:55.842108,drunk elephant,sunscreen,20,positive,indirect,0.8,"**Drunk Elephant Physical Daily Defense Broad Spectrum Sunscreen SPF 30**: This sunscreen contains 20% zinc oxide and is free from essential oils, silicones, and fragrances, making it great for all skin types, including sensitive and acne-prone skin",False
best mineral sunscreen 2024,openai,gpt-4,2025-08-31T23:52:55.842108,eltamd,spectrum,24,neutral,indirect,0.8,"EltaMD official website, ""UV Physical Broad-Spectrum SPF 41"", www",False
best mineral sunscreen 2024,openai,gpt-4,2025-08-31T23:52:55.842108,eltamd,,25,neutral,indirect,0.5,eltamd,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-31T23:52:55.842108,neutrogena,spectrum,27,neutral,indirect,0.8,"Neutrogena official website, ""Sheer Zinc Dry-Touch Sunscreen Broad Spectrum SPF 50"", www",False
best mineral sunscreen 2024,openai,gpt-4,2025-08-31T23:52:55.842108,neutrogena,,28,neutral,indirect,0.5,neutrogena,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-31T23:52:55.842108,coola,crème,30,neutral,indirect,0.8,"COOLA official website, ""Mineral Sun Silk Crème SPF 30"", www",False
best mineral sunscreen 2024,openai,gpt-4,2025-08-31T23:52:55.842108,coola,,31,neutral,indirect,0.5,coola,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-31T23:52:55.842108,drunk elephant,sunscreen,36,neutral,indirect,0.8,"Drunk Elephant official website, ""Physical Daily Defense Broad Spectrum Sunscreen SPF 30"", www",False
best mineral sunscreen 2024,openai,gpt-3.5-turbo,2025-08-31T23:52:37.587290,eltamd,spectrum,4,neutral,indirect,0.8,**EltaMD UV Pure Broad-Spectrum SPF 47**: This sunscreen contains 10% zinc oxide and 5,False
best mineral sunscreen 2024,openai,gpt-3.5-turbo,2025-08-31T23:52:37.587290,coola,crème,8,neutral,indirect,0.8,**Coola Mineral Sun Silk Crème SPF 30**: Coola's sunscreen is a luxurious mineral formula that blends zinc oxide with antioxidants for added skin benefits,False
best mineral sunscreen 2024,openai,gpt-3.5-turbo,2025-08-31T23:52:37.587290,badger,cream,11,negative,indirect,0.8,**Badger Active Mineral Sunscreen Cream SPF 30**: Badger's sunscreen is a natural and organic option that features zinc oxide as the active ingredient,False
best mineral sunscreen 2024,openai,gpt-3.5-turbo,2025-08-31T23:52:37.587290,blue lizard,sensitive,18,neutral,indirect,0.8,**Blue Lizard Australian Sunscreen Sensitive SPF 30+**: Blue Lizard's mineral sunscreen is designed for sensitive skin and contains 10% zinc oxide,False
best mineral sunscreen 2024,anthropic,claude-3-5-sonnet-20241022,2025-08-31T23:52:45.478056,eltamd,spectrum,3,neutral,indirect,0.8,"EltaMD UV Pure Broad-Spectrum SPF 47
- Key ingredients: Zinc Oxide (10%), Titanium Dioxide (5",False
best mineral sunscreen 2024,anthropic,claude-3-5-sonnet-20241022,2025-08-31T23:52:45.478056,blue lizard,sunscreen,5,positive,indirect,0.8,"Blue Lizard Sensitive Mineral Sunscreen SPF 50+
- Key ingredients: Zinc Oxide (10%), Titanium Dioxide (8%)
- Smart bottle technology turns blue in UV light
- Excellent for sensitive skin
- Water-resistant (80 minutes)
- Reef-friendly

2",False
best mineral sunscreen 2024,anthropic,claude-3-5-sonnet-20241022,2025-08-31T23:52:45.478056,neutrogena,sunscreen,6,neutral,indirect,0.8,"Neutrogena Pure & Free Baby Mineral Sunscreen SPF 50
- Key ingredients: Zinc Oxide (21",False
best mineral sunscreen 2024,anthropic,claude-3-5-sonnet-20241022,2025-08-31T23:52:45.478056,cerave,sunscreen,9,neutral,indirect,0.8,"CeraVe Hydrating Mineral Sunscreen SPF 30
- Key ingredients: Zinc Oxide (10%), Titanium Dioxide (5",False
best mineral sunscreen 2024,google,gemini-1.5-pro,2025-08-31T23:52:49.455362,blue lizard,sunscreen,6,neutral,indirect,0.8,"* **Blue Lizard Australian Sunscreen, Sensitive Mineral Sunscreen SPF 50+:** Another zinc oxide-based option, this sunscreen is also fragrance-free and paraben-free",False
best mineral sunscreen 2024,google,gemini-1.5-pro,2025-08-31T23:52:49.455362,aveeno,sunscreen,9,neutral,indirect,0.8,"* **Aveeno Positively Mineral Sensitive Skin Sunscreen SPF 50:** Formulated with zinc oxide and oat extracts, this sunscreen soothes and protects sensitive skin",False
best mineral sunscreen 2024,google,gemini-1.5-pro,2025-08-31T23:52:49.455362,eltamd,spectrum,11,positive,indirect,0.8,"**For Face (Daily Wear):**

* **EltaMD UV Elements Tinted Broad-Spectrum SPF 44:** This tinted mineral sunscreen offers lightweight coverage and a natural-looking finish",False
best mineral sunscreen 2024,google,gemini-1.5-pro,2025-08-31T23:52:49.455362,supergoop,,14,neutral,indirect,0.5,* **Supergoop,False
best mineral sunscreen 2024,google,gemini-1.5-pro,2025-08-31T23:52:49.455362,thinksport,thinksport,20,neutral,indirect,0.8,"**For Body (Active/Water Activities):**

* **Thinksport SPF 50+ Sunscreen:** This sunscreen is water-resistant for up to 80 minutes and offers broad-spectrum protection with zinc oxide",False
best mineral sunscreen 2024,google,gemini-1.5-pro,2025-08-31T23:52:49.455362,badger,cream,22,neutral,indirect,0.8,"* **Badger Sport Sunscreen Cream SPF 35:** Another excellent option for active individuals, this sunscreen is water-resistant and biodegradable",False
best mineral sunscreen 2024,google,gemini-1.5-pro,2025-08-31T23:52:49.455362,sun bum,original,24,neutral,indirect,0.7000000000000001,"* **Sun Bum Original SPF 30 Sunscreen Lotion (Mineral):**  While not as high SPF as some others, this mineral-based Sun Bum option is water-resistant and offers broad-spectrum protection",False
top rated zinc oxide sunscreen,openai,gpt-4,2025-08-31T23:52:50.911035,eltamd,spectrum,2,neutral,indirect,0.8,EltaMD UV Clear Facial Sunscreen Broad-Spectrum SPF 46: This sunscreen is specifically designed for sensitive and acne-prone skin,False
top rated zinc oxide sunscreen,openai,gpt-4,2025-08-31T23:52:50.911035,eltamd,,4,neutral,indirect,0.5,"It also includes niacinamide (vitamin B3), hyaluronic acid, and lactic acid, ingredients that promote the appearance of healthy-looking skin (EltaMD, n",False
top rated zinc oxide sunscreen,openai,gpt-4,2025-08-31T23:52:50.911035,neutrogena,spectrum,7,neutral,indirect,0.8,Neutrogena Sheer Zinc Dry-Touch Sunscreen Broad Spectrum SPF 50: This product is a mineral sunscreen that features our breakthrough Purescreen naturally-sourced 100 percent zinc oxide technology,False
